Year	Start	End
1946	1946-09-20	1946-10-05
1949	1949-09-02	1949-12-17
1951	1951-04-03	1951-04-20
1952	1952-04-23	1952-05-10
1953	1953-04-15	1953-04-29
1954	1954-03-25	1954-04-09
1955	1955-04-26	1955-05-10
1956	1956-04-23	1956-05-10
1957	1957-05-02	1957-05-17
1958	1958-05-02	1958-05-18
1959	1959-04-30	1959-05-15
1960	1960-05-04	1960-05-20
1961	1961-05-03	1961-05-18
1962	1962-05-07	1962-05-23
1963	1963-05-09	1963-05-23
1964	1964-04-29	1964-05-14
1965	1965-05-03	1965-05-16
1966	1966-05-05	1966-05-20
1967	1967-04-27	1967-05-12
1969	1969-05-08	1969-05-23
1970	1970-05-02	1970-05-16
1971	1971-05-12	1971-05-27
1972	1972-05-04	1972-05-19
1973	1973-05-10	1973-05-25
1974	1974-05-09	1974-05-24
1975	1975-05-09	1975-05-23
1976	1976-05-13	1976-05-28
1977	1977-05-13	1977-05-27
1978	1978-05-16	1978-05-30
1979	1979-05-10	1979-05-24
1980	1980-05-09	1980-05-23
1981	1981-05-13	1981-05-27
1982	1982-05-14	1982-05-26
1983	1983-05-07	1983-05-19
1984	1984-05-11	1984-05-23
1985	1985-05-08	1985-05-20
1986	1986-05-08	1986-05-19
1987	1987-05-07	1987-05-19
1988	1988-05-11	1988-05-23
1989	1989-05-11	1989-05-23
1990	1990-05-10	1990-05-21
1991	1991-05-09	1991-05-20
1992	1992-05-07	1992-05-18
1993	1993-05-13	1993-05-24
1994	1994-05-12	1994-05-23
1995	1995-05-17	1995-05-28
1996	1996-05-09	1996-05-20
1997	1997-05-07	1997-05-18
1998	1998-05-13	1998-05-24
1999	1999-05-12	1999-05-23
2000	2000-05-14	2000-05-25
2001	2001-05-14	2001-05-25
2002	2002-05-15	2002-05-26
2003	2003-05-14	2003-05-25
2004	2004-05-12	2004-05-23
2005	2005-05-11	2005-05-22
2006	2006-05-17	2006-05-28
2007	2007-05-16	2007-05-27
2008	2008-05-14	2008-05-25
2009	2009-05-13	2009-05-24
2010	2010-05-12	2010-05-23
2011	2011-05-11	2011-05-22
2012	2012-05-16	2012-05-27
2013	2013-05-15	2013-05-26
2014	2014-05-14	2014-05-25
2015	2015-05-13	2015-05-24
2016	2016-05-11	2016-05-22
2017	2017-05-17	2017-05-28
