Title,Author,Desc,Inerest_age,Reading_age
The Girl Who Drank the Moon,Kelly Barnhill,"Every year, the evil Protectorate offers a baby to the evil witch in the forest to ensure their village’s safety. Yet, unknown to them, the witch is Xan, the plump and knowledgeable protector of the babies that she takes to the neighbouring village to be raised as special children, fed on starlight and destined to do wonderful things.
Yet, one day, Xan feeds one baby the moon by mistake and fills her with a huge amount of magic – a dangerous amount, as it turns out – so Xan decides to raise Luna as her own. But nothing is straightforward, and when Luna turns 13, everything will change.
Kelly Barnhill won the Newbery Medal in the US for this thoughtful and magical book about belonging, fear and family, and it’s easy to see why. The writing flows beautifully and Barnhill’s keen observation of human nature fits naturally into the story, which moves along at a satisfying pace.
Xan is a delightfully pleasant and caring crone witch who dispels the traditional image of cackling evildoer, and replaces it with something far more loving and magical. Perfect for young fans of Neil Gaiman, Ursula Le Guin and Diana Wynne Jones.",10-14 ,10-14                               
Time Between Us,Tamara Ireland Stone,"Sixteen-year-old Anna is struggling to understand Bennett, the new boy at school. One minute he seems interested in her and she feels they have a connection  - but the next, he avoids her and acts as if he hardly knows her.
When he saves her life, she finally discovers his secret and all the pieces of the puzzle fall into place. Anna realises they should never have been able to meet, let alone fall in love, because although he is a year older than her, Bennett was born in the year she turned 16. 
This compelling time-travel adventure in the tradition of The Time Traveller's Wife will appeal to young fans of romance. Engaging, poignant and complex, it is an unpredictable story that will keep readers engrossed until the last page.",13+ ,12+                               
Girl Out of Water,Nat Luurtsema,"Lou Brown's swimming ambitions sank without trace when she failed in the Olympic time trials that sent her best friend off to High Performance Training Camp.
Fifteen years old, 5 foot 10 (and still growing), left at home with no hobby and no friend, she struggles to fit in with even the least cool kids at school. When an accidental encounter leads to her coaching three of the coolest guys around in their quest to get on TV, Lou finds her life descending into chaos and craziness.
With plenty of genuine laugh-out-loud moments and a zany plot, Lou's story is a hilarious, yet poignant, exploration of the highs and lows of navigating teenage relationships and social expectations. Contemporary and engaging with believable characters and a refreshingly original voice.",13-18 ,10+                               
Captive,A J Grainger,"Robyn is scared. Ever since the attempted assassination of her dad, the British prime minister, she dreads leaving home. Especially when he's staying in Downing Street and she's off to her grandparents' country estate. But this time, the animal rights activists aren't after the prime minister. It's Robyn they want.
Kidnapped at gunpoint, incarcerated in a tiny cell, Robyn wonders how far her dad will go to secure her release. Doubts about lies and corruption at the heart of government start to fester. At the same time, she grows close to one of her captors - the boy with regret and melancholy in his captivating green eyes…
A gripping read and a moving exploration of identity, celebrity, loyalty, politics and power.",13+ ,13                               
The School of Music,Rachel Bowen and Meurig Bowen Illustrator: Daniel Frost,"Welcome to the School of Music. In charge is Maestro Sergio Trunk. Over three terms, you'll discover the wide, wonderful world of music, whether you're listening, reading, writing or playing.  
There's a tour of musical genres and eras, from classical to jazz, medieval to modern, as well as introductions to the various instrument families - those played with a bow and those with keys. Once you've covered reading and writing music, and getting the timing right, you reach the best bit: having fun making a wonderful sound!
Accompanying a chatty text, clean, sharp ice-cream coloured graphics make complex concepts incredibly clear, with musical samples to download and activities to stimulate responses and deepen understanding. Wise, inspiring and innovative, this introduction is underpinned by great depth and breadth of expertise. ",10+ ,10+                               
The Crystal Stair,Catherine Fisher,"The Crystal Stair picks up after At the World’s End. Caz and Will live in a settlement for survivors of the frozen world. Caz hasn’t seen her father for nine years, when the Blue Star poisoned and froze the planet. She can’t let go of the feeling that he may still be alive somewhere, and when she finds a secret file containing information about him, she’s determined to investigate. Caz and Will soon find themselves out in the frozen landscape once again, and it’s even more dangerous than last time.
This is a fantastic sequel for this dystopian series, keeping the fast pace of At the World’s End. It will certainly leave the reader asking for more.",12+ ,8+                               
Dark Inside,Jeyn Roberts,"After a huge earthquake strikes every continent on Earth, strange things start happening and people begin behaving very oddly. Aries survives a bus crash, while Clementine barely escapes the horror of a town massacre. While Mason is in hospital at his dying mother’s bedside his school is destroyed and all his friends killed, whilst Michael’s experience of a road rage incident leaves him reeling... These four survivors soon realise they must draw on all their resources to fight an unknown evil taking over their world.This is the story of four teenagers and their struggle to survive in a post-apocalyptic world. Dark and disturbing yet exciting, it reveals real humanity and emotion, as the relationships between the young people are tested to the limit. A readable and refreshing take on the zombie genre.",14+ ,10+                               
Kite Spirit,Sita Brahmachari,"When her best friend Dawn commits suicide, Kite's world falls apart. Struggling to deal with her hearbreaking grief, she leaves London with her father to spend the summer in the Lake District - but the strange house and unfamiliar landscape leave her feeling vulnerable and disorientated. Feeling that Dawn's spirit, embodied by an owl, has followed her to the countryside, she battles with her feelings of anger, guilt and sadness, refusing to engage with those around her. But gradually, a friendship with local boy Garth, and making connections with the local community help her to express her feelings and say goodbye to her best friend.This emotional story about grief and loss deals with some thought-provoking issues that some younger readers may find upsetting - although Brahmachari always approaches her subject with sensitivity and compassion. But Kire Spirit is also a celebration of family, friendship and the power of nature: Kite is an engaging and different heroine, and the Lake District landscapes are full of atmosphere.",13+ ,12+                               
I Capture the Castle,Dodie Smith,"Originally published in 1949, this delightful novel by the author of the much-loved One Hundred and One Dalmatians, still retains its freshness today.
Cassandra, the 17-year-old narrator, lives an eccentric existence in a crumbling castle in the English countryside in the 1930s. Her father is a former bestselling novelist now suffering from a chronic case of writer's block and her glamorous but bohemian stepmother Topaz is a sometime artist model. Money is in short supply but Cassandra and her discontented older sister Rose are forced to make the best of things - until some young, wealthy American neighbours arrive and Rose sees an opportunity for them all to escape their impoverished existence.
Even when she is encountering the difficulties of first love and first heartbreak, Cassandra remains a wonderfully likable heroine, with a strong narrative voice and a distinctive sense of humour. Whimsical, charming and beautifully written, this engaging classic novel will appeal equally to both adult and young adult readers.",12+ ,12+                               
Butter,Erin Jade Lange,"Isolated and bullied at school, with a dysfunctional family life and weighing over 400 lbs, 'Butter' as he is nicknamed by his high school classmates, feels he has little left to live for. His love for music has lost its shine, and even his online chats with Anna, the girl of his dreams, have to be carried out under a false persona. Butter makes up his mind life is no longer worth living but decides to go out with a bang, announcing that he plans to eat himself to death live on the internet on December 31st. 
Yet Butter's online announcement proves to have unforseen consequences - far from pity, insults or indifference, he suddenly finds himself a celebrity amongst his classmates, who become fascinated by his horrifying plan. No longer ostracised, Butter soon becomes part of the popular crowd - and life takes an unexpected turn for the better. But what will happen when December 31st rolls around?Cleverly balancing darkness and light, this is a unique young adult novel which takes an unflinching look at the isuses of bingeing, overeating, depression and suicide. Lange's portrayal of both Butter and his popular classmates is always complex, sensitive and nuanced, and she writes compellingly about the challenges faced by contemporary teens - in particular the problems of internet bullying, and the tensions between online and 'real-life' identities. Bold and striking, Butter is a powerful and courageous novel that is certain to leave readers with plenty to think about.",13+ ,13+                               
